BAIRRO,CASOS_CONFIRMADOS,COEFICIENTE_INCIDENCIA,POPULACAO,RECUPERADOS
Sussuarana,2797,97.09,28809,2681
Tororo,467,99.00,4717,448
Trobogy,731,102.12,7158,719
Uruguai,2404,79.16,30370,2269
"Vale das Pedrinhas",265,51.34,5162,254
"Vale dos Lagos",140,10.89,12860,134
Valeria,1514,57.76,26210,1418
"Vila Canaria",897,79.96,11218,867
"Vila Laura",1713,117.94,14524,1669
"Vila Ruy Barbosa/Jardim Cruzeiro",1369,70.39,19448,1288
"Vista Alegre",121,,,119
Vitoria,566,108.33,5225,545
